StationId,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Zone,StationName
KA002,2018-01-10,36.3,,3.21,9.74,6.37,,0.56,2.36,61.29,0.0,0.23,,71.0,Satisfactory,Residential,BTM Layout
KA002,2018-01-11,100.76,,4.02,14.68,9.41,,0.62,5.88,57.65,0.0,0.0,,97.0,Satisfactory,Residential,BTM Layout
KA002,2018-01-12,36.67,,4.07,23.19,13.6,,0.69,3.31,72.62,0.0,0.0,,228.0,Poor,Residential,BTM Layout
KA002,2018-01-13,32.81,,3.31,26.25,14.53,,0.64,3.87,72.51,0.0,0.0,,89.0,Satisfactory,Residential,BTM Layout
KA002,2018-01-14,38.39,,6.72,30.62,19.2,,0.71,2.96,73.49,0.0,0.0,,100.0,Satisfactory,Residential,BTM Layout
KA002,2018-01-15,37.09,,2.43,17.46,9.58,,0.61,3.37,93.4,0.0,0.0,,121.0,Moderate,Residential,BTM Layout
KA002,2018-01-16,41.08,,6.56,37.52,22.46,,0.73,3.29,82.91,0.0,0.0,,108.0,Moderate,Residential,BTM Layout
KA002,2018-01-17,43.63,,8.28,36.3,23.13,,0.69,3.67,88.66,0.0,0.0,,116.0,Moderate,Residential,BTM Layout
KA002,2018-01-18,35.06,,4.06,33.48,18.61,,0.69,5.26,87.55,0.0,0.0,,109.0,Moderate,Residential,BTM Layout
KA002,2018-01-19,33.82,,2.58,22.72,12.26,,0.92,4.29,96.0,0.0,0.0,,117.0,Moderate,Residential,BTM Layout
KA002,2018-01-20,30.84,,2.07,19.52,10.32,,0.63,4.52,103.87,0.0,0.0,,129.0,Moderate,Residential,BTM Layout
KA002,2018-01-21,37.34,,1.77,14.6,7.73,,0.74,4.17,103.69,0.0,0.0,,125.0,Moderate,Residential,BTM Layout
KA002,2018-01-22,45.54,,1.9,18.83,9.86,,0.54,3.86,95.9,0.0,0.0,,113.0,Moderate,Residential,BTM Layout
KA002,2018-01-23,50.17,,3.2,27.58,15.09,,0.72,4.72,70.99,0.08,0.0,,89.0,Satisfactory,Residential,BTM Layout
KA002,2018-01-24,48.22,,13.71,49.39,33.58,,0.69,5.77,51.19,0.2,0.0,,85.0,Satisfactory,Residential,BTM Layout
KA002,2018-01-25,45.32,,7.83,28.2,18.85,,0.77,7.65,65.27,0.0,0.0,,93.0,Satisfactory,Residential,BTM Layout
KA002,2018-01-26,42.46,,1.6,15.24,7.88,,0.88,8.47,74.95,0.0,0.0,,94.0,Satisfactory,Residential,BTM Layout
KA002,2018-01-27,51.3,,4.73,29.86,17.35,,0.68,6.86,70.98,0.04,0.0,,94.0,Satisfactory,Residential,BTM Layout
KA002,2018-01-28,40.58,,2.43,18.23,9.95,,0.54,7.41,68.76,0.0,0.0,,87.0,Satisfactory,Residential,BTM Layout
KA002,2018-01-29,38.42,,2.49,21.8,11.75,,0.78,7.28,61.53,0.0,0.0,,86.0,Satisfactory,Residential,BTM Layout
KA002,2018-01-30,80.02,,2.69,24.9,13.26,,0.58,6.42,63.73,0.0,0.0,,111.0,Moderate,Residential,BTM Layout
KA002,2018-01-31,39.06,,2.39,26.15,13.79,,0.79,6.77,64.42,0.0,0.0,,131.0,Moderate,Residential,BTM Layout
KA002,2018-02-01,33.57,,10.08,47.67,30.03,,0.93,8.91,50.85,0.0,0.0,,83.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-02,32.52,,3.74,32.1,17.71,,0.81,8.35,63.59,0.0,0.0,,83.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-03,34.97,,1.82,21.59,11.15,,0.91,9.17,61.76,0.0,0.0,,85.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-04,28.51,,2.35,21.58,11.54,,0.73,3.44,46.38,0.01,0.0,,73.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-05,27.93,,4.12,26.3,15.16,,0.53,3.28,42.07,0.0,0.0,,66.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-06,35.65,,2.2,20.27,10.78,,0.62,2.82,45.99,0.0,0.0,,71.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-07,29.81,,7.39,27.72,18.29,,0.52,2.51,26.89,0.0,0.0,,61.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-08,27.59,,26.38,53.82,45.13,,0.71,3.32,34.73,0.0,0.0,,72.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-09,29.83,,5.5,41.55,23.62,,0.84,2.31,43.63,2.62,2.66,,98.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-10,25.98,,6.13,35.22,20.58,,0.59,1.72,31.49,1.74,6.64,,73.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-11,24.34,,2.0,10.55,5.89,,0.51,3.13,45.41,0.64,0.89,,59.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-12,23.01,,2.62,10.49,6.32,,0.46,2.46,41.46,0.47,0.78,,56.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-13,32.68,,2.51,11.41,6.76,,0.81,2.07,51.67,0.4,0.8,,93.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-14,34.65,,2.32,10.34,6.02,,0.62,1.62,47.37,0.3,0.65,,72.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-15,28.25,,2.74,11.87,7.08,,0.57,1.28,46.03,0.72,0.9,,73.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-16,27.14,,3.87,26.54,15.09,,0.67,2.39,45.8,0.88,1.35,,64.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-17,30.46,,9.52,40.5,26.11,,0.78,9.18,50.79,1.51,2.73,,77.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-18,26.73,,2.0,17.28,9.18,,0.71,3.33,61.19,0.94,0.93,,93.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-19,25.91,,2.69,22.81,12.39,,0.9,3.39,61.87,0.71,1.13,,97.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-20,28.75,,2.36,21.16,11.34,,0.95,3.68,65.61,0.56,1.07,,101.0,Moderate,Residential,BTM Layout
KA002,2018-02-21,31.57,,6.01,29.9,18.32,,0.65,3.89,59.54,0.9,1.35,,82.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-22,35.31,,6.52,38.9,23.08,,0.63,3.87,60.56,0.87,1.46,,81.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-23,27.86,,3.39,29.85,16.34,,0.75,4.67,57.07,0.68,1.15,,82.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-24,21.97,,2.13,12.39,6.88,,0.69,3.95,44.84,0.18,0.74,,89.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-25,20.55,,2.03,9.47,5.38,,0.51,3.69,44.41,0.03,0.47,,68.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-26,15.33,,4.01,20.02,12.01,,0.73,3.66,37.13,0.41,0.83,,67.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-27,22.16,,4.9,19.55,12.44,,0.73,4.89,40.13,0.29,0.7,,67.0,Satisfactory,Residential,BTM Layout
KA002,2018-02-28,26.12,,7.44,32.09,20.46,,0.6,4.04,38.57,0.63,1.08,,72.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-01,27.41,,5.18,24.55,15.1,,0.83,3.67,46.53,0.53,0.93,,88.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-02,29.68,,5.77,40.1,23.12,,0.75,3.99,51.5,0.63,1.09,,78.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-03,29.55,,6.8,37.45,22.59,,0.88,3.33,50.49,0.77,1.45,,79.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-04,28.17,,2.62,22.23,12.04,,1.02,4.45,49.6,0.5,0.98,,82.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-05,20.73,,9.36,36.68,24.13,,0.87,4.53,42.48,0.47,1.0,,72.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-06,20.25,,6.01,32.95,19.81,,0.78,5.11,41.48,0.4,1.03,,69.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-07,22.9,,2.05,17.59,9.36,,0.7,4.96,56.0,0.38,0.54,,77.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-08,39.42,,3.15,19.94,11.3,,0.79,4.32,47.16,0.35,0.46,,68.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-09,51.84,,17.79,48.84,36.35,,0.84,4.37,46.01,1.1,2.01,,76.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-10,59.06,,4.16,36.65,20.24,,0.86,4.43,53.19,0.41,0.92,,91.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-11,41.83,,1.84,16.4,8.62,,0.93,4.17,59.03,0.2,0.53,,90.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-12,34.98,,1.83,9.23,5.12,,0.63,4.6,44.4,0.03,0.16,,81.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-13,15.97,,3.38,10.88,7.07,,0.53,4.55,26.9,0.05,0.36,,56.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-14,30.18,,2.75,13.22,7.9,,0.61,4.67,43.39,0.0,0.78,,63.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-15,26.4,,10.89,23.89,19.33,,0.72,4.12,30.15,0.22,1.31,,68.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-16,19.89,,7.61,31.54,20.62,,0.61,4.42,23.49,0.03,0.75,,66.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-17,22.5,,6.32,34.45,21.08,,0.7,4.14,33.39,0.3,1.59,,77.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-18,21.77,,2.89,13.19,8.15,,0.62,4.38,36.04,0.0,0.36,,68.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-19,31.17,,3.1,18.98,11.13,,0.6,4.3,61.47,0.06,0.25,,71.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-20,48.84,,2.94,28.57,15.69,,0.92,3.9,60.47,0.26,0.89,,88.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-21,50.9,,2.9,29.7,16.21,,0.72,3.53,61.81,0.25,1.37,,96.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-22,39.97,,31.21,67.24,55.65,,0.99,3.98,34.26,0.71,2.12,,88.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-23,53.83,,42.8,88.53,74.68,,0.94,3.69,32.05,1.39,3.4,,93.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-24,49.18,,2.75,21.73,12.21,,0.53,3.71,58.64,0.23,1.42,,94.0,Satisfactory,Residential,BTM Layout
KA002,2018-03-25,47.62,,2.56,20.16,11.31,,0.45,2.61,54.78,0.0,0.8,,74.0,Satisfactory,Residential,BTM Layout
KA002,2018-04-25,44.47,,9.32,54.01,32.86,,0.84,4.79,49.01,0.37,0.59,,99.0,Satisfactory,Residential,BTM Layout
KA002,2018-04-26,54.86,,3.29,24.84,14.13,,0.53,5.71,46.4,0.32,0.5,,92.0,Satisfactory,Residential,BTM Layout
KA002,2018-04-27,43.22,,2.79,20.7,11.77,,0.91,5.25,53.72,0.14,0.22,,103.0,Moderate,Residential,BTM Layout
KA002,2018-04-28,50.6,,3.52,21.73,12.79,,0.69,5.54,40.12,0.19,0.31,,89.0,Satisfactory,Residential,BTM Layout
KA002,2018-04-29,56.52,,3.55,28.96,16.33,,0.53,6.12,45.33,0.31,0.5,,104.0,Moderate,Residential,BTM Layout
KA002,2018-04-30,227.36,,3.4,25.4,14.34,,1.47,5.65,46.3,0.16,0.25,,141.0,Moderate,Residential,BTM Layout
KA002,2018-05-01,59.11,,3.0,18.64,10.8,,0.49,6.15,48.92,0.12,0.19,,364.0,Very Poor,Residential,BTM Layout
KA002,2018-05-02,65.71,,3.54,24.39,14.04,,0.56,10.44,41.52,0.22,0.35,,114.0,Moderate,Residential,BTM Layout
